,matchcode,team,map,priority
651,2330008,HAVU,Overpass,4
652,2330007,EURONICS,Mirage,1
653,2330007,x6tence Galaxy,Cache,2
654,2330007,EURONICS,Nuke,3
655,2330007,x6tence Galaxy,Dust2,4
656,2330006,Valiance,Inferno,1
657,2330006,Vexed,Nuke,2
658,2330006,Valiance,Overpass,3
659,2330006,Vexed,Dust2,4
660,2330005,ALTERNATE aTTaX,Inferno,1
661,2330005,3DMAX,Overpass,2
662,2330005,ALTERNATE aTTaX,Dust2,3
663,2330005,3DMAX,Train,4
664,2329826,Tricked,Overpass,1
665,2329826,x6tence Galaxy,Train,2
666,2329826,Tricked,Inferno,3
667,2329826,x6tence Galaxy,Dust2,4
668,2329824,Tricked,Overpass,1
669,2329824,LDLC,Inferno,2
670,2329824,Tricked,Dust2,3
671,2329824,LDLC,Cache,4
672,2329823,3DMAX,Train,1
673,2329823,Red Reserve,Inferno,2
674,2329823,3DMAX,Overpass,3
675,2329823,Red Reserve,Nuke,4
676,2329822,expert,Overpass,1
677,2329822,ALTERNATE aTTaX,Train,2
678,2329822,expert,Inferno,3
679,2329822,ALTERNATE aTTaX,Cache,4
680,2329821,x6tence Galaxy,Dust2,1
681,2329821,HAVU,Inferno,2
682,2329821,x6tence Galaxy,Cache,3
683,2329821,HAVU,Overpass,4
684,2329820,ALTERNATE aTTaX,Cache,1
685,2329820,3DMAX,Overpass,2
686,2329820,ALTERNATE aTTaX,Inferno,3
687,2329820,3DMAX,Train,4
688,2329819,EURONICS,Train,1
689,2329819,HAVU,Inferno,2
690,2329819,EURONICS,Nuke,3
691,2329819,HAVU,Overpass,4
692,2329818,Vexed,Dust2,1
693,2329818,expert,Inferno,2
694,2329818,Vexed,Nuke,3
695,2329818,expert,Overpass,4
696,2329634,Red Reserve,Nuke,1
697,2329634,EURONICS,Mirage,2
698,2329634,Red Reserve,Inferno,3
699,2329634,EURONICS,Train,4
700,2329817,Red Reserve,Inferno,1
701,2329817,AGO,Overpass,2
702,2329817,Red Reserve,Train,3
703,2329817,AGO,Nuke,4
704,2329816,HAVU,Inferno,1
705,2329816,Vexed,Nuke,2
706,2329816,HAVU,Mirage,3
707,2329816,Vexed,Dust2,4
708,2329815,AGO,Nuke,1
709,2329815,EURONICS,Mirage,2
710,2329815,AGO,Cache,3
711,2329815,EURONICS,Train,4
712,2329814,Windigo,Nuke,1
713,2329814,ALTERNATE aTTaX,Cache,2
714,2329814,Windigo,Overpass,3
715,2329814,ALTERNATE aTTaX,Dust2,4
716,2329813,Red Reserve,Nuke,1
717,2329813,HAVU,Inferno,2
718,2329813,Red Reserve,Train,3
719,2329813,HAVU,Overpass,4
720,2329812,Vexed,Overpass,1
721,2329812,ALTERNATE aTTaX,Cache,2
722,2329812,Vexed,Nuke,3
723,2329812,ALTERNATE aTTaX,Mirage,4
724,2329643,EURONICS,Mirage,1
725,2329643,Sprout,Overpass,2
726,2329643,EURONICS,Train,3
727,2329643,Sprout,Cache,4
728,2329642,Tricked,Cache,1
729,2329642,HAVU,Inferno,2
730,2329642,Tricked,Dust2,3
731,2329642,HAVU,Mirage,4
732,2329641,EURONICS,Mirage,1
733,2329641,LDLC,Inferno,2
734,2329641,EURONICS,Train,3
735,2329641,LDLC,Cache,4
736,2329640,Tricked,Dust2,1
737,2329640,ALTERNATE aTTaX,Cache,2
738,2329640,Tricked,Overpass,3
739,2329640,ALTERNATE aTTaX,Nuke,4
