,matchcode,map,team1,team2,score1,score2,eventcode,stars,date,mapnumber
3065,2327462,Inferno,FaZe,ex-Space Soldiers,12,16,3374,1,16th of October 2018,1
3066,2327461,Mirage,NiP,Natus Vincere,13,16,3374,3,16th of October 2018,1
3067,2327460,Dust2,AGO,BIG,17,19,3374,1,16th of October 2018,1
3068,2327459,Mirage,Natus Vincere,ex-Space Soldiers,16,5,3374,1,16th of October 2018,1
3069,2327458,Train,BIG,AGO,16,9,3374,1,16th of October 2018,1
3070,2327457,Dust2,ex-Space Soldiers,Natus Vincere,9,16,3374,1,16th of October 2018,1
3071,2327456,Overpass,Windigo,G2,16,3,3374,1,16th of October 2018,1
3072,2327455,Train,NiP,Astralis,16,7,3374,3,16th of October 2018,1
3073,2327454,Dust2,G2,Windigo,16,14,3374,1,16th of October 2018,1
3074,2327453,Overpass,Astralis,NiP,16,4,3374,3,16th of October 2018,1
3075,2327152,Inferno,ex-Space Soldiers,G2,14,16,3374,1,5th of October 2018,1
3076,2327154,Train,FaZe,AGO,16,3,3374,1,5th of October 2018,1
3077,2327153,Inferno,AGO,FaZe,5,16,3374,1,5th of October 2018,1
3078,2327151,Cache,G2,ex-Space Soldiers,7,16,3374,1,5th of October 2018,1
3079,2327148,Dust2,AGO,Heroic,14,16,3374,1,5th of October 2018,1
3080,2327150,Overpass,Windigo,FaZe,8,16,3374,1,5th of October 2018,1
3081,2327149,Inferno,FaZe,Windigo,16,5,3374,1,5th of October 2018,1
3082,2327147,Train,Heroic,AGO,16,7,3374,1,5th of October 2018,1
3083,2327146,Inferno,G2,Heroic,16,6,3374,2,5th of October 2018,1
3084,2327144,Inferno,Astralis,mousesports,16,11,3374,4,5th of October 2018,1
3085,2327145,Dust2,Heroic,G2,12,16,3374,2,5th of October 2018,1
3086,2327143,Train,mousesports,Astralis,13,16,3374,4,5th of October 2018,1
3087,2327142,Train,Heroic,Windigo,22,19,3374,1,4th of October 2018,1
3088,2327140,Train,mousesports,ex-Space Soldiers,16,9,3374,1,4th of October 2018,1
3089,2327141,Dust2,Windigo,Heroic,16,10,3374,1,4th of October 2018,1
3090,2327139,Dust2,ex-Space Soldiers,mousesports,16,7,3374,1,4th of October 2018,1
3091,2327138,Train,ex-Space Soldiers,Astralis,19,15,3374,1,4th of October 2018,1
3092,2327136,Overpass,G2,FaZe,14,16,3374,2,4th of October 2018,1
3093,2327137,Inferno,Astralis,ex-Space Soldiers,25,21,3374,1,4th of October 2018,1
3094,2327135,Inferno,FaZe,G2,9,16,3374,2,4th of October 2018,1
3095,2327132,Dust2,FaZe,Astralis,4,16,3374,3,4th of October 2018,1
3096,2327134,Inferno,G2,mousesports,8,16,3374,2,4th of October 2018,1
3097,2327131,Mirage,Astralis,FaZe,16,7,3374,3,4th of October 2018,1
3098,2327133,Nuke,mousesports,G2,16,5,3374,2,4th of October 2018,1
3099,2327130,Mirage,NiP,AGO,13,16,3374,1,3rd of October 2018,1
3100,2327128,Inferno,Astralis,BIG,13,16,3374,3,3rd of October 2018,1
3101,2327129,Cache,AGO,NiP,11,16,3374,1,3rd of October 2018,1
3102,2327127,Train,BIG,Astralis,9,16,3374,3,3rd of October 2018,1
3103,2327126,Overpass,HellRaisers,North,16,14,3374,2,3rd of October 2018,1
3104,2327124,Dust2,Heroic,fnatic,10,16,3374,2,3rd of October 2018,1
3105,2327125,Train,North,HellRaisers,19,15,3374,2,3rd of October 2018,1
