,matchcode,team,map
492,2326964,Vyalie Pitoni,Mirage
493,2326979,forZe,Overpass
494,2326979,notkicked,Dust2
495,2326703,PACT,Train
496,2326703,EVOLVE,Inferno
497,2326937,Movistar Riders,Nuke
498,2326937,Windigo,Train
499,2326973,Skinlordz,Mirage
500,2326973,forZe,Inferno
501,2326974,notkicked,Dust2
502,2326974,HOLLYWOOD,Overpass
503,2326955,Infamous,Inferno
504,2326955,EGO,Overpass
505,2326827,Mythic,Dust2
506,2326827,Fam143,Overpass
507,2326942,expert,Nuke
508,2326942,unknown,Dust2
509,2326935,DreamEaters,Inferno
510,2326935,forZe,Overpass
511,2326903,kalajarnot,Mirage
512,2326903,HAVU,Train
513,2326934,Winstrike,Train
514,2326934,Vyalie Pitoni,Mirage
515,2326941,Evolution,Mirage
516,2326941,Monolith,Cache
517,2326936,Valiance,Mirage
518,2326936,LDLC,Nuke
519,2326427,Astralis,Nuke
520,2326427,Natus Vincere,Overpass
521,2326904,Minttu,Nuke
522,2326904,SuperJymy,Mirage
523,2326926,GOSU,Nuke
524,2326926,ViCi,Dust2
525,2326869,Signature,Overpass
526,2326869,Beyond,Nuke
527,2326868,MiTH,Overpass
528,2326868,Signature,Mirage
529,2326898,BOOM,Nuke
530,2326898,Recca,Dust2
531,2326875,Random5,Dust2
532,2326875,BOOT-d[S],Train
533,2326867,Lucid Dream,Cache
534,2326867,Beyond,Mirage
535,2326874,RageFaction,Mirage
536,2326874,Random5,Cache
537,2326878,COVE,Mirage
538,2326878,FrostFire,Dust2
539,2326895,Taboo,Inferno
540,2326895,Ground Zero,Dust2
541,2326426,Astralis,Nuke
542,2326426,Liquid,Mirage
543,2326425,Natus Vincere,Overpass
544,2326425,MIBR,Dust2
545,2326866,dsG&friends,Overpass
546,2326866,Signature,Mirage
547,2326873,Random5,Mirage
548,2326873,BOOT-d[S],Nuke
549,2326865,Neolution Lelix,Mirage
550,2326865,MiTH,Inferno
551,2326872,play4fun,Cache
552,2326872,RageFaction,Mirage
553,2326877,VG.Anthrax,Inferno
554,2326877,COVE,Mirage
555,2326871,RageFaction,Cache
556,2326871,Random5,Mirage
557,2326864,Attack All Around,Overpass
558,2326864,Lucid Dream,Mirage
559,2326876,FrostFire,Dust2
560,2326876,Orange,Nuke
561,2326863,Alpha Red,Dust2
562,2326863,Beyond,Nuke
563,2326870,play4fun,Inferno
564,2326870,BOOT-d[S],Train
565,2326808,Santos,Mirage
566,2326808,W7M,Train
567,2326424,FaZe,Mirage
568,2326424,Astralis,Inferno
569,2326423,Liquid,Mirage
570,2326423,HellRaisers,Dust2
571,2326828,Grizzlys,Inferno
572,2326828,Infamous,Mirage
573,2326829,AZIO,Nuke
574,2326829,Las Vegas MiniGunners,Cache
575,2326826,TeamOne,Train
576,2326826,Atlas,Nuke
577,2326824,Bpro,Overpass
578,2326824,orgless,Mirage
579,2326825,EoN,Cache
580,2326825,Great Danes,Inferno
581,2326422,MIBR,Train
582,2326422,compLexity,Inferno
583,2326728,PACT,Inferno
584,2326728,Sharks,Cache
585,2326421,BIG,Dust2
586,2326421,Natus Vincere,Nuke
587,2326701,5POWER,Dust2
588,2326701,CyberZen,Mirage
589,2326700,5POWER,Dust2
590,2326700,EHOME,Nuke
591,2326699,CyberZen,Overpass
592,2326699,MAX,Train
593,2326812,Malvinas,Mirage
594,2326812,Furious,Inferno
595,2326680,FURIA Inagame,Inferno
596,2326680,W7M,Mirage
597,2326661,Forge,Cache
598,2326661,fnatic Academy,Inferno
599,2326805,Izako Boars,Train
600,2326805,EURONICS,Cache
601,2326801,pro100,Cache
602,2326801,Valiance,Inferno
603,2326786,forZe,Inferno
604,2326786,Movistar Riders,Mirage
605,2326689,Furious,Overpass
606,2326689,Good Fellas,Dust2
607,2326749,Las Vegas MiniGunners,Nuke
608,2326749,The Mad Lads,Inferno
609,2326743,TeamOne,Cache
610,2326743,Stormborns,Dust2
611,2326752,PACT,Inferno
612,2326752,Izako Boars,Mirage
613,2326588,AGO,Dust2
614,2326588,forZe,Inferno
615,2326759,x-kom,Mirage
616,2326759,PRIDE,Train
617,2326687,SuperJymy,Inferno
618,2326687,WASD,Overpass
619,2326694,pro100,Inferno
620,2326694,ALTERNATE aTTaX,Overpass
621,2326746,Infamous,Mirage
622,2326746,Glockoma,Cache
623,2326745,Grizzlys,Overpass
624,2326745,Dignitas fe,Train
625,2326688,Quad,Nuke
626,2326688,Malvinas,Cache
627,2326747,Fam143,Nuke
628,2326747,Zclan,Cache
629,2326748,Mythic,Dust2
630,2326748,EGO,Inferno
631,2326732,Bpro,Dust2
632,2326732,Quantum Bellator Fire,Overpass
633,2326729,Endpoint,Overpass
634,2326729,WASD,Train
635,2326693,Tempo Storm,Cache
636,2326693,Valiance,Inferno
637,2326726,EoN,Nuke
638,2326726,ConfigStarz,Train
639,2326730,Nexus,Mirage
640,2326730,No Quarter Cartel,Overpass
641,2326727,Smoke Criminals,Inferno
642,2326727,Ambush,Overpass
643,2326731,orgless,Cache
644,2326731,EURONICS,Train
645,2326692,forZe,Inferno
646,2326692,DreamEaters,Mirage
647,2326719,Majestic Lions,Train
648,2326719,Endpoint,Dust2
649,2326691,LDLC,Nuke
650,2326691,Movistar Riders,Mirage
651,2326733,University of Houston | White,Inferno
652,2326733,University of Colorado Boulder,Mirage
653,2326733,University of Houston | White,Dust2
654,2326733,University of Colorado Boulder,Overpass
655,2326714,Knock Out,Cache
656,2326714,Pyrsos,Inferno
657,2326702,FAM,Cache
658,2326702,Izako Boars,Mirage
659,2326712,Pyrsos,Inferno
660,2326712,Dawn Of Stars,Mirage
661,2326420,MIBR,Cache
662,2326420,NiP,Mirage
663,2326686,Squared,Overpass
664,2326686,expert,Cache
665,2326698,FAM,Cache
666,2326698,PACT,Inferno
667,2326695,Knock Out,Mirage
668,2326695,UltiCoin,Cache
669,2326696,EVOLVE,Inferno
670,2326696,Izako Boars,Mirage
671,2326419,FaZe,Mirage
672,2326419,G2,Dust2
673,2326690,YamatO,Train
674,2326690,Windigo,Dust2
675,2326656,Flash,Dust2
676,2326656,5POWER,Mirage
677,2326418,fnatic,Mirage
678,2326418,HellRaisers,Dust2
679,2326685,eNergy Academy,Mirage
